benchmark,configurations,variant_groups,creators,at_least_100_configurations,at_least_100_groups,note,fixed_representatives
benchmark:swe-bench-pro,9,9,3,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,8
benchmark:aa-lcr,8,8,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,8
benchmark:automationbench,8,8,4,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,8
benchmark:bfcl-v4,8,8,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,8
benchmark:hle,8,8,5,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,7
benchmark:livecodebench,8,8,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,7
benchmark:lvbench,8,8,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,8
benchmark:mmlu-pro,8,8,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,8
benchmark:mmmu-pro,8,8,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,8
benchmark:osworld-verified,8,8,3,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,7
benchmark:tau2-bench-weighted,8,8,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,8
benchmark:agents-last-exam,7,7,4,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,6
benchmark:androidworld,7,7,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,6
benchmark:browsecomp,7,7,4,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,7
benchmark:mmlu-prox,7,7,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,7
benchmark:mmmlu,7,7,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,7
benchmark:mmvu,7,7,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,7
benchmark:swe-bench-verified,7,7,3,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,7
benchmark:wmt24-plusplus,7,7,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,7
benchmark:babyvision,6,6,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,5
benchmark:babyvision-python,6,6,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,5
benchmark:charxiv-no-tools,6,6,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,5
benchmark:hle-tools,6,6,5,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,6
benchmark:longbench-v2-1m,6,6,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,6
benchmark:nl2repo,6,6,3,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,5
benchmark:charxiv-tools,5,5,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,4
benchmark:osworld-2,5,5,3,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,5
benchmark:arc-agi-3,4,4,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:exploitbench,4,4,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,4
benchmark:gdp-pdf,4,4,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,4
benchmark:gdpval-aa-elo,4,4,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,4
benchmark:gdpval-aa-v2-elo,4,4,3,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,4
benchmark:mathvision,4,4,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:mcp-atlas,4,4,3,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,4
benchmark:swe-bench-multilingual,4,4,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,4
benchmark:benchcad,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:benchcad-python,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:big-finance-bench,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:capture-the-flag,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:claw-eval-mm-pass3,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:coworkbench,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:cybergym,3,3,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:exploitgym,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:frontiermath-tier-1-3-v2,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:frontiermath-tier-4-v2,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:genebench-pro,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:graphwalks-bfs-1m-f1,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:graphwalks-bfs-256k-f1,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:healthbench-professional,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:internal-research-debugging,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:job-bench,3,3,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:kernelgen-1p,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:lifescibench,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:management-consulting-internal,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:mathvision-python,3,3,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:medchembench-internal,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:mmmu-pro-no-tools,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:mmmu-pro-tools,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:nanogpt,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:officeqa-pro,3,3,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:openai-mrcr-v2-256k-512k,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:openai-mrcr-v2-512k-1m,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:posttrainbench-lite,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:rsi-index,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:sec-bench-pro,3,3,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,3
benchmark:aa-briefcase-elo,2,2,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:automationbench-v1-0-6,2,2,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:claw-eval-mm-average,2,2,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:codeforces-elo,2,2,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:critpt,2,2,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:deepswe,2,2,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:dsbench-hard,2,2,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:frontierswe-dominance,2,2,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:imoanswerbench,2,2,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:omnidocbench,2,2,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:posttrainbench,2,2,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:recreationbench,2,2,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:scicode,2,2,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:terminal-bench-2,2,2,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,2
benchmark:vision2web,2,2,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:agents-last-exam-cli,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:aime-2025,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:apex-agents,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:arc-agi-1,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:arc-agi-2,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:blueprint-bench-2,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:corpfin-v2,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:cursorbench-3-2-0,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:deepsearchqa-f1,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:dsbench-fullstack,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:exploitgym-2h,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:exploitgym-6h,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:finance-agent-v2,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:frontiercode-diamond,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:frontiercode-v1-1-main,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:harvey-lab-aa,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:kimi-code-bench-v2,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:legal-agent-benchmark,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:legal-research-bench,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:mcp-mark-verified,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:mls-bench-lite,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:mmmu-pro-python,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:mrcr-v2-128k,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:osworld-2-aug2026-anthropic-partial,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:osworld-2-aug2026-anthropic-strict,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:perceptionbench,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:programbench,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:programbench-almost-solved,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:qwen-swebench,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,0
benchmark:research-rubrics,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:saas-bench,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:skillsbench,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:spreadsheetbench-2,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:swe-bench-multimodal,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:swe-marathon,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:swe-marathon-v1-1,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:swe-mm,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,0
benchmark:tau3-banking,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:terminal-bench-3,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:terminal-bench-4,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:terminal-bench-science-0-1,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:video-mme-sub,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:webarena-verified,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,0
benchmark:worldvqa-forceanswer,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:zerobench-pass5,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
benchmark:zerobench-python-pass5,1,1,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,1
