method,board_id,board,item_id,item,source_keys,scale,counts_for_board_gate,n_obs,reliability_weight,difficulty,discrimination,discrimination_status,rmse,board_residual_sigma
twopl,hard-reasoning,Hard reasoning,hle,Humanity's Last Exam,Humanity's Last Exam | benchmark:hle,percent,True,405,0.952941,2.771936,0.822257,estimated,0.363884,0.496206
twopl,hard-reasoning,Hard reasoning,critpt,CritPt,CritPt,percent,True,321,0.941349,5.823171,0.726003,estimated,0.620105,0.496206
twopl,hard-reasoning,Hard reasoning,gpqa-diamond,GPQA Diamond,GPQA Diamond | benchmark:gpqa-diamond,percent,True,409,0.95338,-0.68903,0.938462,estimated,0.37521,0.496206
twopl,hard-reasoning,Hard reasoning,aime-2025,AIME 2025,AIME 2025 | benchmark:aime-2025,percent,True,194,0.906542,-0.181673,1.225574,estimated,0.964721,0.496206
twopl,hard-reasoning,Hard reasoning,aime-2026,AIME 2026,benchmark:aime-2026,percent,True,22,0.52381,-4.491918,0.490229,fixed_sparse,0.807465,0.496206
twopl,hard-reasoning,Hard reasoning,hmmt-2026-feb,HMMT Feb 2026,benchmark:hmmt-2026-feb,percent,True,17,0.459459,-3.243174,0.490229,fixed_sparse,0.499871,0.496206
twopl,knowledge-science,Knowledge/science,omniscience,AA-Omniscience Accuracy,AA-Omniscience Accuracy,percent,True,320,0.941176,2.469538,0.63352,estimated,0.316371,0.35
twopl,knowledge-science,Knowledge/science,gpqa-diamond,GPQA Diamond,GPQA Diamond | benchmark:gpqa-diamond,percent,True,409,0.95338,-0.721194,0.897638,estimated,0.260481,0.35
twopl,knowledge-science,Knowledge/science,hle,Humanity's Last Exam,Humanity's Last Exam | benchmark:hle,percent,True,405,0.952941,3.048453,0.747761,estimated,0.43076,0.35
twopl,knowledge-science,Knowledge/science,mmmu-pro,MMMU-Pro,benchmark:mmmu-pro,percent,True,10,0.333333,-1.953141,0.359055,fixed_sparse,0.099953,0.35
twopl,knowledge-science,Knowledge/science,scicode,SciCode,SciCode,percent,True,403,0.952719,1.325862,0.772921,estimated,0.425038,0.35
twopl,knowledge-science,Knowledge/science,mmlu-pro,MMLU-Pro,benchmark:mmlu-pro,percent,True,26,0.565217,-3.362684,0.359055,fixed_sparse,0.337105,0.35
twopl,instruction-context,Instruction/context,ifbench,IFBench,IFBench | benchmark:ifbench,percent,True,318,0.940828,0.002963,0.657899,estimated,0.451035,0.665556
twopl,instruction-context,Instruction/context,aa-lcr,AA-LCR,AA-LCR,percent,True,340,0.944444,0.771658,1.345545,estimated,0.653326,0.665556
twopl,instruction-context,Instruction/context,critpt,CritPt,CritPt,percent,True,321,0.941349,6.383916,0.644291,estimated,0.742135,0.665556
twopl,instruction-context,Instruction/context,charxiv-tools,CharXiv Reasoning w/ tools,benchmark:charxiv-tools,percent,True,11,0.354839,-2.345305,0.538218,fixed_sparse,0.314022,0.665556
twopl,instruction-context,Instruction/context,charxiv-no-tools,CharXiv Reasoning,benchmark:charxiv-no-tools,percent,True,11,0.354839,-1.419915,0.538218,fixed_sparse,0.255418,0.665556
