method,method_label,method_scope,rank,model,creator,slug,variant_group,evidence_tier,score,unique_benchmark_families,board_test_slots_total,min_board_tests,boards_below_main_target,coding_tests,coding_score,agentic-tool-work_tests,agentic-tool-work_score,hard-reasoning_tests,hard-reasoning_score,knowledge-science_tests,knowledge-science_score,instruction-context_tests,instruction-context_score,evidence_rank,rank_change_due_to_required_order,publication_order_rule,required_order_target
global_family_percentile,One equal vote per canonical benchmark family globally,primary,17,Grok Build 0.1 0616,SpaceXAI,grok-build-0-1-06-16,grok build 0 1 0616,Provisional,85.0582,8,14,2,3,2,75.56,2,69.772,3,91.08,5,90.318,2,84.892,17,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,18,MiMo-V2.5-Pro,Xiaomi,mimo-v2-5-pro,mimo v2 5 pro,Provisional,84.6075,8,14,2,2,2,83.18,2,85.314,3,86.4,4,81.427,3,92.274,18,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,19,Nex-N2-Pro,Nex AGI,nex-n2-pro,nex n2 pro,Provisional,84.5458,8,14,2,2,2,77.359,2,85.344,3,89.688,4,84.812,3,86.615,19,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,20,Gemini 3.6 Flash,Google,gemini-3-6-flash,gemini 3 6 flash,Main,84.3016,12,19,3,0,3,81.985,5,72.454,3,94.455,5,95.868,3,89.248,20,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,21,GPT-5.1 (high),OpenAI,gpt-5-1,gpt 5 1,Provisional,83.7521,10,16,2,2,2,70.393,2,77.086,4,87.89,5,82.906,3,89.473,21,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,22,Qwen3.7 Max,Alibaba,qwen3-7-max,qwen3 7 max,Main,83.7067,11,18,3,0,3,80.998,5,74.048,3,94.593,4,89.858,3,94.051,22,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,23,Qwen3.7 Plus,Alibaba,qwen3-7-plus,qwen3 7 plus,Provisional,83.3861,9,15,2,2,2,76.213,2,73.155,3,91.166,5,83.638,3,88.124,23,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,24,Claude Opus 4.8 (max),Anthropic,claude-opus-4-8,claude opus 4 8,Main,83.1194,16,23,3,0,3,94.588,9,82.061,3,97.002,4,96.118,4,73.455,24,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,25,GPT-5.4 mini (xhigh),OpenAI,gpt-5-4-mini,gpt 5 4 mini,Provisional,83.0603,9,15,2,2,2,78.134,2,76.221,3,87.597,5,82.84,3,89.279,25,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,26,Grok 4.3 (high),SpaceXAI,grok-4-3,grok 4 3,Provisional,82.8791,9,15,2,2,2,68.22,2,60.72,3,91.023,5,87.531,3,86.621,26,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,27,Kimi K2.7 Code,Kimi,kimi-k2-7-code,kimi k2 7 code,Provisional,82.7565,9,15,2,1,2,82.527,3,74.69,3,90.986,4,89.126,3,85.266,27,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,28,Claude Sonnet 4.6 (max),Anthropic,claude-sonnet-4-6-adaptive,claude sonnet 4 6,Provisional,81.811,9,15,2,2,2,82.958,2,84.51,3,86.054,5,83.802,3,79.293,28,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,29,GPT-5 (high),OpenAI,gpt-5,gpt 5,Provisional,81.5613,10,16,2,2,2,62.322,2,68.767,4,87.297,5,81.351,3,89.745,29,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,30,Qwen3.5 397B A17B,Alibaba,qwen3-5-397b-a17b,qwen3 5 397b a17b,Provisional,81.0887,9,15,2,2,2,67.962,2,71.933,3,83.783,5,82.769,3,86.066,30,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,31,Kimi K2.5,Kimi,kimi-k2-5,kimi k2 5,Provisional,81.0464,9,15,2,2,2,71.754,2,70.339,3,85.572,5,84.694,3,84.068,31,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,32,GPT-5.4 (xhigh),OpenAI,gpt-5-4,gpt 5 4,Main,80.9383,13,20,3,0,3,80.082,6,65.474,3,96.819,5,94.132,3,94.998,32,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,33,Motif 3 (Beta),Motif Technologies,motif-0714,motif 3 beta,Provisional,80.8007,7,13,2,3,2,80.969,2,80.797,3,88.877,4,79.451,2,84.461,33,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,34,GLM-5.1,Z AI,glm-5-1,glm 5 1,Provisional,80.1375,8,14,2,2,2,75.88,2,72.907,3,85.38,4,79.255,3,84.764,34,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,35,Claude Opus 4.7 (max),Anthropic,claude-opus-4-7,claude opus 4 7,Main,79.4158,16,23,3,0,4,91.653,7,71.565,3,94.369,5,93.746,4,75.047,35,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,36,GLM-4.7,Z AI,glm-4-7,glm 4 7,Provisional,78.8893,9,15,2,2,2,68.679,2,64.619,4,84.873,4,81.855,3,77.52,36,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,37,GPT-5.4 nano (xhigh),OpenAI,gpt-5-4-nano,gpt 5 4 nano,Provisional,77.4431,9,15,2,2,2,76.855,2,75.809,3,82.901,5,72.24,3,89.648,37,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,38,MiniMax-M3,MiniMax,minimax-m3,minimax m3,Main,77.1283,12,19,3,0,3,76.058,5,69.545,3,91.19,5,79.231,3,93.578,38,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,39,DeepSeek V3.2,DeepSeek,deepseek-v3-2-reasoning,deepseek v3 2,Provisional,76.6726,9,15,2,2,2,60.925,2,68.497,4,83.469,4,77.031,3,77.943,39,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,40,Gemini 3.1 Flash-Lite,Google,gemini-3-1-flash-lite-preview,gemini 3 1 flash lite,Provisional,75.4956,9,15,2,2,2,60.115,2,63.283,3,73.124,5,77.181,3,83.681,40,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,41,Qwen3.6 Plus,Alibaba,qwen3-6-plus,qwen3 6 plus,Main,75.4268,12,19,3,0,5,64.439,3,68.104,3,83.967,5,80.086,3,85.801,41,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,42,Qwen3.5 122B A10B,Alibaba,qwen3-5-122b-a10b,qwen3 5 122b a10b,Provisional,75.2382,9,15,2,2,2,66.759,2,68.466,3,76.418,5,76.537,3,79.704,42,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,43,DeepSeek V4 Pro (max),DeepSeek,deepseek-v4-pro,deepseek v4 pro,Main,74.9823,18,25,3,0,6,78.814,8,54.616,3,91.428,5,91.466,3,89.405,43,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,44,Agnes 2.5 Pro Alpha,Sapiens AI,agnes-2-5-pro-alpha,agnes 2 5 pro alpha,Provisional,74.9655,8,14,2,2,2,77.368,3,57.32,3,89.592,4,84.15,2,89.049,44,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,45,Gemini 3.1 Pro Preview,Google,gemini-3-1-pro-preview,gemini 3 1 pro preview,Main,74.4952,16,23,3,0,4,73.798,8,53.044,3,97.705,5,98.234,3,96.142,45,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,46,MiniMax-M2.5,MiniMax,minimax-m2-5,minimax m2 5,Provisional,74.4418,10,16,2,1,4,67.793,2,63.119,3,76.747,4,77.283,3,81.274,46,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,47,MiMo-V2.5,Xiaomi,mimo-v2-5-0424,mimo v2 5,Provisional,74.3655,9,15,2,2,2,76.361,2,74.491,3,82.473,5,71.644,3,79.714,47,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,48,Hy3,Tencent,hy3,hy3,Provisional,74.1569,14,21,2,1,5,71.19,7,66.81,3,88.505,4,87.334,2,87.551,48,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,49,Qwen3.6 27B,Alibaba,qwen3-6-27b,qwen3 6 27b,Provisional,73.3274,9,15,2,2,2,68.93,2,77.558,3,76.873,5,70.633,3,79.979,49,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,50,Claude 4.5 Sonnet,Anthropic,claude-4-5-sonnet-thinking,claude 4 5 sonnet,Provisional,73.3122,10,16,2,2,2,73.8,2,70.481,4,77.049,5,73.391,3,72.102,50,0,fable5_first_gpt56sol_second_v1,
