slug,model,missing_core_count,missing_core_items,empty_boards,reason
gemini-1-0-ultra,Gemini 1.0 Ultra,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-flash,Gemini 1.5 Flash (Sep),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-flash-8b,Gemini 1.5 Flash-8B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-flash-may-2024,Gemini 1.5 Flash (May),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-pro,Gemini 1.5 Pro (Sep),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-pro-may-2024,Gemini 1.5 Pro (May),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash,Gemini 2.0 Flash,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gemini-2-0-flash-experimental,Gemini 2.0 Flash (exp),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-lite-001,Gemini 2.0 Flash-Lite (Feb),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-lite-preview,Gemini 2.0 Flash-Lite (Preview),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-thinking-exp-0121,Gemini 2.0 Flash Thinking exp. (Jan),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-thinking-exp-1219,Gemini 2.0 Flash Thinking exp. (Dec),10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-pro-experimental-02-05,Gemini 2.0 Pro Experimental,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-5-flash-lite-preview-09-2025-reasoning,Gemini 2.5 Flash-Lite (Sep),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gemini-2-5-flash-lite-reasoning,Gemini 2.5 Flash-Lite,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gemini-2-5-flash-preview-09-2025-reasoning,Gemini 2.5 Flash (Sep),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gemini-2-5-flash-reasoning,Gemini 2.5 Flash,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gemini-2-5-flash-reasoning-04-2025,Gemini 2.5 Flash (Apr),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-5-pro-03-25,Gemini 2.5 Pro (Mar),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-5-pro-05-06,Gemini 2.5 Pro (May),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-3-deep-think,Gemini 3 Deep Think,9,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gemma-3-1b,Gemma 3 1B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gemma-3-270m,Gemma 3 270M,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gemma-3n-e2b,Gemma 3n E2B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gemma-3n-e4b-preview-0520,Gemma 3n E4B (May),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemma-4-12b,Gemma 4 12B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gemma-4-e2b,Gemma 4 E2B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gemma-4-e4b,Gemma 4 E4B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
glm-4-5-air,GLM-4.5-Air,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
glm-4-5v-reasoning,GLM-4.5V,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
glm-4-6v-reasoning,GLM-4.6V,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
glm-4-7-flash,GLM-4.7-Flash,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
glm-4.5,GLM-4.5,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
glm-5,GLM-5,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
glm-5-turbo,GLM-5-Turbo,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
glm-5v-turbo,GLM 5V Turbo,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-3-5-turbo-0613,GPT-3.5 Turbo (0613),10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-35-turbo,GPT-3.5 Turbo,9,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
gpt-4,GPT-4,7,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-LCR v1.1,coding; agentic-tool-work; hard-reasoning,board_missing_both; missing_at_least_four
gpt-4-1,GPT-4.1,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-4-5,GPT-4.5 (Preview),10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-4-turbo,GPT-4 Turbo,8,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,agentic-tool-work; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-4o,GPT-4o (Nov),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-4o-2024-05-13,GPT-4o (May),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gpt-4o-2024-08-06,GPT-4o (Aug),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-4o-chatgpt,GPT-4o (ChatGPT),7,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; IFBench,coding; agentic-tool-work,board_missing_both; missing_at_least_four
gpt-4o-chatgpt-03-25,GPT-4o (Mar),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gpt-4o-mini,GPT-4o mini,4,AutomationBench-AA; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1,,missing_at_least_four
gpt-4o-mini-realtime-dec-2024,GPT-4o mini Realtime (Dec),10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-4o-realtime-dec-2024,GPT-4o Realtime (Dec),10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-5-5-instant-05-26,GPT-5.5 Instant (May 2026),3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-5-chatgpt,GPT-5 (ChatGPT),4,AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
granite-3-3-8b-instruct,Granite 3.3 8B,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
granite-4-0-350m,Granite 4.0 350M,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
granite-4-0-h-350m,Granite 4.0 H 350M,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
granite-4-0-h-nano-1b,Granite 4.0 H 1B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
granite-4-0-h-small,Granite 4.0 H Small,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
granite-4-0-micro,Granite 4.0 Micro,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
granite-4-0-nano-1b,Granite 4.0 1B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
granite-4-1-30b,Granite 4.1 30B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
granite-4-1-3b,Granite 4.1 3B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
granite-4-1-8b,Granite 4.1 8B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
grok-1,Grok-1,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
grok-2-1212,Grok 2,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
grok-3,Grok 3,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
grok-3-reasoning,Grok 3 Reasoning Beta,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
grok-4,Grok 4,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
grok-4-1-fast-reasoning,Grok 4.1 Fast,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
grok-4-20,Grok 4.20 0309 v2,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
grok-4-20-0309,Grok 4.20 0309,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
grok-4-fast-reasoning,Grok 4 Fast,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
grok-beta,Grok Beta,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
grok-code-fast-1,Grok Code Fast 1,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
hermes-3-llama-3-1-70b,Hermes 3 - Llama-3.1 70B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
