slug,model,missing_core_count,missing_core_items,empty_boards,reason
gpt-5-1-codex,GPT-5.1 Codex (high),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gpt-5-1-codex-mini,GPT-5.1 Codex mini (high),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gpt-5-codex,GPT-5 Codex (high),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gpt-5-nano,GPT-5 nano (high),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
grok-3-mini-reasoning,Grok 3 mini Reasoning (high),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
k2-v2,K2-V2 (high),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
o4-mini,o4-mini (high),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
sarvam-105b,Sarvam 105B (high),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
sarvam-30b,Sarvam 30B (high),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
QwQ-32B-Preview,QwQ 32B-Preview,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
apertus-70b-instruct,Apertus 70B Instruct,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
apertus-8b-instruct,Apertus 8B Instruct,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
apriel-v1-5-15b-thinker,Apriel-v1.5-15B-Thinker,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
apriel-v1-6-15b-thinker,Apriel-v1.6-15B-Thinker,5,SciCode; AutomationBench-AA; GDPval-AA v2; AA-LCR v1.1; GDP.pdf,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
arctic-instruct,Arctic,10,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
claude-2,Claude 2.0,9,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
claude-21,Claude 2.1,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-3-7-sonnet-thinking,Claude 3.7 Sonnet,5,SciCode; AutomationBench-AA; GDPval-AA v2; AA-LCR v1.1; GDP.pdf,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-3-haiku,Claude 3 Haiku,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
claude-3-opus,Claude 3 Opus,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-3-sonnet,Claude 3 Sonnet,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-35-sonnet,Claude 3.5 Sonnet (Oct),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-35-sonnet-june-24,Claude 3.5 Sonnet (June),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-4-1-opus-thinking,Claude 4.1 Opus,5,SciCode; AutomationBench-AA; GDPval-AA v2; AA-Omniscience Accuracy; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
claude-4-opus-thinking,Claude 4 Opus,7,SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-instant,Claude Instant,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-opus-4-5-thinking,Claude Opus 4.5,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
cogito-v2-1-reasoning,Cogito v2.1,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
command-a,Command A,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
command-r-03-2024,Command-R (Mar),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
command-r-plus-04-2024,Command-R+ (Apr),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
dbrx,DBRX,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
deephermes-3-llama-3-1-8b-preview,DeepHermes 3 - Llama-3.1 8B,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
deephermes-3-mistral-24b-preview,DeepHermes 3 - Mistral 24B,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
deepseek-coder-v2,DeepSeek-Coder-V2,10,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
deepseek-coder-v2-lite,DeepSeek Coder V2 Lite,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
deepseek-llm-67b-chat,DeepSeek LLM 67B (V1),10,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
deepseek-r1,DeepSeek R1 0528,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-r1-distill-llama-70b,DeepSeek R1 Distill Llama 70B,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-r1-distill-llama-8b,DeepSeek R1 Distill Llama 8B,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work; hard-reasoning,board_missing_both; missing_at_least_four
deepseek-r1-distill-qwen-1-5b,DeepSeek R1 Distill Qwen 1.5B,7,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-r1-distill-qwen-14b,DeepSeek R1 Distill Qwen 14B,7,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-r1-distill-qwen-32b,DeepSeek R1 Distill Qwen 32B,7,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-r1-qwen3-8b,DeepSeek R1 0528 Qwen3 8B,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-v2,DeepSeek-V2,10,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
deepseek-v2-5,DeepSeek-V2.5 (Dec),9,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
deepseek-v2-5-sep-2024,DeepSeek-V2.5,10,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
deepseek-v3-1-reasoning,DeepSeek V3.1,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-v3-2-reasoning-0925,DeepSeek V3.2 Exp,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-v3-2-speciale,DeepSeek V3.2 Speciale,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
devstral-small,Devstral Small,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
devstral-small-2505,Devstral Small (May),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
doubao-seed-code,Doubao Seed Code,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
ernie-4-5-300b-a47b,ERNIE 4.5 300B A47B,5,SciCode; AutomationBench-AA; GDPval-AA v2; AA-LCR v1.1; GDP.pdf,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
ernie-5-0-thinking-preview,ERNIE 5.0 Thinking Preview,5,SciCode; AutomationBench-AA; GDPval-AA v2; AA-LCR v1.1; GDP.pdf,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
exaone-4-0-1-2b-reasoning,Exaone 4.0 1.2B,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
exaone-4-0-32b-reasoning,EXAONE 4.0 32B,5,SciCode; AutomationBench-AA; GDPval-AA v2; AA-LCR v1.1; GDP.pdf,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
falcon-h1r-7b,Falcon-H1R-7B,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemini-1-0-pro,Gemini 1.0 Pro,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-0-ultra,Gemini 1.0 Ultra,10,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-flash,Gemini 1.5 Flash (Sep),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-flash-8b,Gemini 1.5 Flash-8B,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-flash-may-2024,Gemini 1.5 Flash (May),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-pro,Gemini 1.5 Pro (Sep),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-pro-may-2024,Gemini 1.5 Pro (May),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash,Gemini 2.0 Flash,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemini-2-0-flash-experimental,Gemini 2.0 Flash (exp),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-lite-001,Gemini 2.0 Flash-Lite (Feb),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-lite-preview,Gemini 2.0 Flash-Lite (Preview),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-thinking-exp-0121,Gemini 2.0 Flash Thinking exp. (Jan),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-thinking-exp-1219,Gemini 2.0 Flash Thinking exp. (Dec),10,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-pro-experimental-02-05,Gemini 2.0 Pro Experimental,8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-5-flash-lite-preview-09-2025-reasoning,Gemini 2.5 Flash-Lite (Sep),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemini-2-5-flash-lite-reasoning,Gemini 2.5 Flash-Lite,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemini-2-5-flash-preview-09-2025-reasoning,Gemini 2.5 Flash (Sep),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemini-2-5-flash-reasoning,Gemini 2.5 Flash,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemini-2-5-flash-reasoning-04-2025,Gemini 2.5 Flash (Apr),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-5-pro-03-25,Gemini 2.5 Pro (Mar),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-5-pro-05-06,Gemini 2.5 Pro (May),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-3-deep-think,Gemini 3 Deep Think,9,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gemini-3-flash-reasoning,Gemini 3 Flash,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemma-3-1b,Gemma 3 1B,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemma-3-270m,Gemma 3 270M,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemma-3-4b,Gemma 3 4B,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemma-3n-e2b,Gemma 3n E2B,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemma-3n-e4b,Gemma 3n E4B,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemma-3n-e4b-preview-0520,Gemma 3n E4B (May),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
glm-4-5-air,GLM-4.5-Air,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
glm-4-5v-reasoning,GLM-4.5V,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
glm-4-6v-reasoning,GLM-4.6V,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
glm-4-7-flash,GLM-4.7-Flash,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
glm-4.5,GLM-4.5,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
glm-5,GLM-5,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
glm-5-turbo,GLM-5-Turbo,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
glm-5v-turbo,GLM 5V Turbo,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gpt-3-5-turbo-0613,GPT-3.5 Turbo (0613),10,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-35-turbo,GPT-3.5 Turbo,9,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
gpt-4,GPT-4,7,Terminal-Bench effective; SciCode; AutomationBench-AA; CritPt; Humanity's Last Exam; AA-LCR v1.1; GDP.pdf,coding; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
gpt-4-1,GPT-4.1,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gpt-4-5,GPT-4.5 (Preview),10,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-4-turbo,GPT-4 Turbo,9,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-4o,GPT-4o (Nov),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gpt-4o-2024-05-13,GPT-4o (May),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gpt-4o-2024-08-06,GPT-4o (Aug),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gpt-4o-chatgpt,GPT-4o (ChatGPT),7,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work,board_missing_both; missing_at_least_four
gpt-4o-chatgpt-03-25,GPT-4o (Mar),8,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gpt-4o-mini,GPT-4o mini,6,SciCode; AutomationBench-AA; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
gpt-4o-mini-realtime-dec-2024,GPT-4o mini Realtime (Dec),10,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-4o-realtime-dec-2024,GPT-4o Realtime (Dec),10,Terminal-Bench effective; SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-5-5-instant-05-26,GPT-5.5 Instant (May 2026),4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gpt-5-chatgpt,GPT-5 (ChatGPT),6,SciCode; AutomationBench-AA; GDPval-AA v2; CritPt; AA-Omniscience Accuracy; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
granite-3-3-8b-instruct,Granite 3.3 8B,5,SciCode; AutomationBench-AA; GDPval-AA v2; AA-LCR v1.1; GDP.pdf,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
granite-4-0-350m,Granite 4.0 350M,4,SciCode; AutomationBench-AA; GDPval-AA v2; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
