slug,model,missing_core_count,missing_core_items,empty_boards,reason
claude-35-sonnet,Claude 3.5 Sonnet (Oct),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-35-sonnet-june-24,Claude 3.5 Sonnet (June),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-4-1-opus-thinking,Claude 4.1 Opus,4,SciCode; τ³-Banking; AA-Omniscience Accuracy; GDP.pdf,,missing_at_least_four
claude-4-opus-thinking,Claude 4 Opus,6,SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
claude-instant,Claude Instant,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
cogito-v2-1-reasoning,Cogito v2.1,4,SciCode; τ²-Bench Telecom; τ³-Banking; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
command-r-03-2024,Command-R (Mar),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
command-r-plus-04-2024,Command-R+ (Apr),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
dbrx,DBRX,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
deephermes-3-llama-3-1-8b-preview,DeepHermes 3 - Llama-3.1 8B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
deephermes-3-mistral-24b-preview,DeepHermes 3 - Mistral 24B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
deepseek-coder-v2,DeepSeek-Coder-V2,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
deepseek-coder-v2-lite,DeepSeek Coder V2 Lite,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
deepseek-llm-67b-chat,DeepSeek LLM 67B (V1),10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
deepseek-r1-distill-llama-8b,DeepSeek R1 Distill Llama 8B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work; hard-reasoning,board_missing_both; missing_at_least_four
deepseek-r1-distill-qwen-1-5b,DeepSeek R1 Distill Qwen 1.5B,7,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-r1-distill-qwen-14b,DeepSeek R1 Distill Qwen 14B,7,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-r1-distill-qwen-32b,DeepSeek R1 Distill Qwen 32B,7,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-v2,DeepSeek-V2,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
deepseek-v2-5,DeepSeek-V2.5 (Dec),9,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
deepseek-v2-5-sep-2024,DeepSeek-V2.5,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
diffusiongemma-26b-a4b,DiffusionGemma 26B A4B,4,SciCode; τ²-Bench Telecom; τ³-Banking; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
ernie-4-5-300b-a47b,ERNIE 4.5 300B A47B,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
ernie-5-0-thinking-preview,ERNIE 5.0 Thinking Preview,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
exaone-4-0-32b-reasoning,EXAONE 4.0 32B,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
g9v3-3b,G9v3-3B,4,SciCode; τ²-Bench Telecom; τ³-Banking; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
gemini-1-0-pro,Gemini 1.0 Pro,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-0-ultra,Gemini 1.0 Ultra,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-flash,Gemini 1.5 Flash (Sep),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-flash-8b,Gemini 1.5 Flash-8B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-flash-may-2024,Gemini 1.5 Flash (May),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-pro,Gemini 1.5 Pro (Sep),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-1-5-pro-may-2024,Gemini 1.5 Pro (May),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-experimental,Gemini 2.0 Flash (exp),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-lite-001,Gemini 2.0 Flash-Lite (Feb),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-lite-preview,Gemini 2.0 Flash-Lite (Preview),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-thinking-exp-0121,Gemini 2.0 Flash Thinking exp. (Jan),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-flash-thinking-exp-1219,Gemini 2.0 Flash Thinking exp. (Dec),10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gemini-2-0-pro-experimental-02-05,Gemini 2.0 Pro Experimental,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-5-flash-reasoning-04-2025,Gemini 2.5 Flash (Apr),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-5-pro-03-25,Gemini 2.5 Pro (Mar),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-2-5-pro-05-06,Gemini 2.5 Pro (May),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gemini-3-deep-think,Gemini 3 Deep Think,9,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gemma-3n-e4b-preview-0520,Gemma 3n E4B (May),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gpt-3-5-turbo-0613,GPT-3.5 Turbo (0613),10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-35-turbo,GPT-3.5 Turbo,9,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
gpt-4,GPT-4,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
gpt-4-5,GPT-4.5 (Preview),10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-4-turbo,GPT-4 Turbo,9,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-4o-2024-05-13,GPT-4o (May),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gpt-4o-chatgpt,GPT-4o (ChatGPT),7,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work,board_missing_both; missing_at_least_four
gpt-4o-chatgpt-03-25,GPT-4o (Mar),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
gpt-4o-mini,GPT-4o mini,6,SciCode; τ²-Bench Telecom; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
gpt-4o-mini-realtime-dec-2024,GPT-4o mini Realtime (Dec),10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-4o-realtime-dec-2024,GPT-4o Realtime (Dec),10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-5-chatgpt,GPT-5 (ChatGPT),5,SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,,missing_at_least_four
granite-3-3-8b-instruct,Granite 3.3 8B,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
grok-1,Grok-1,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
grok-2-1212,Grok 2,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
grok-3-reasoning,Grok 3 Reasoning Beta,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
grok-beta,Grok Beta,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
hermes-3-llama-3-1-70b,Hermes 3 - Llama-3.1 70B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
jamba-1-5-large,Jamba 1.5 Large,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
jamba-1-5-mini,Jamba 1.5 Mini,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
jamba-1-6-large,Jamba 1.6 Large,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
jamba-1-6-mini,Jamba 1.6 Mini,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
jt-4-1-flash-236b-a21b,JT-4.1 Flash 236B A21B,4,SciCode; τ²-Bench Telecom; τ³-Banking; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
kimi-linear-48b-a3b-instruct,Kimi Linear 48B A3B Instruct,5,SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,,missing_at_least_four
lfm-40b,LFM 40B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
lfm2-8b-a1b,LFM2 8B A1B,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
ling-mini-2-0,Ling-mini-2.0,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
llama-2-chat-13b,Llama 2 Chat 13B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
llama-2-chat-70b,Llama 2 Chat 70B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
llama-2-chat-7b,Llama 2 Chat 7B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
llama-3-1-instruct-70b,Llama 3.1 70B,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
llama-3-1-nemotron-nano-4b-reasoning,Llama 3.1 Nemotron Nano 4B v1.1,6,Terminal-Bench effective; SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding,board_missing_both; missing_at_least_four
llama-3-1-nemotron-ultra-253b-v1-reasoning,Llama Nemotron Ultra,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
llama-3-2-instruct-3b,Llama 3.2 3B,6,Terminal-Bench effective; SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding,board_missing_both; missing_at_least_four
llama-3-2-instruct-90b-vision,Llama 3.2 90B (Vision),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
llama-65b,Llama 65B,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
llama-nemotron-super-49b-v1-5-reasoning,Llama Nemotron Super 49B v1.5,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
minimax-m1-40k,MiniMax M1 40k,6,SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
mistral-7b-instruct,Mistral 7B,4,Terminal-Bench effective; SciCode; τ³-Banking; GDP.pdf,coding,board_missing_both; missing_at_least_four
mistral-8x22b-instruct,Mixtral 8x22B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
mistral-large,Mistral Large (Feb),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
mistral-large-2,Mistral Large 2 (Nov),4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
mistral-large-2407,Mistral Large 2 (Jul),6,Terminal-Bench effective; SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding,board_missing_both; missing_at_least_four
mistral-saba,Mistral Saba,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
mistral-small,Mistral Small (Sep),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
mistral-small-2402,Mistral Small (Feb),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
mistral-small-3,Mistral Small 3,6,Terminal-Bench effective; SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding,board_missing_both; missing_at_least_four
mixtral-8x7b-instruct,Mixtral 8x7B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
molmo-7b-d,Molmo 7B-D,5,SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,,missing_at_least_four
motif-0714,Motif 3 (Beta),4,SciCode; τ²-Bench Telecom; τ³-Banking; GDP.pdf,agentic-tool-work,board_missing_both; missing_at_least_four
o1-mini,o1-mini,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
o1-preview,o1-preview,9,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
o1-pro,o1-pro,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
